flow_accumulation_km2,flow_direction_code,name
0.008329981006681919,2,Chikkabettahalli Lake
0.4251021146774292,16,Panathur Chikka Kere
0.28323110938072205,64,Chokkanahalli Lake
0.8001863956451416,2,Panathuru Kere
0.8003767728805542,128,Krishna Nagara Lake
0.28346920013427734,128,Kalena Agrahara lake
1.2589259147644043,32,Hemmigepura Kere
0.23341450095176697,8,ITI Layout Lake
0.11672387272119522,8,Jogi Kere
0.0666612982749939,2,Sankey Tank
2.7988803386688232,32,Agrahara Lake
0.15007399022579193,64,Yelenahalli Lake
0.3251890242099762,1,Basavanapura Pond
1.3253920078277588,64,Iblur Lake
6.816653251647949,1,Kodigehalli Lake
0.17504830658435822,64,Bhoganahalli Lake
0.4751774072647095,64,Somasundarapalya Lake
1.799878478050232,4,Benniganahalli Lake
2.767028331756592,8,Nayandahalli Lake
0.5502026081085205,64,Yelachenahalli Kere
0.8168903589248657,128,Deverabisanahalli Lake
0.8003511428833008,32,Gubbalala Kere
0.008337408304214478,8,Avalahalli Lake
0.016666918992996216,1,Goshala Lake
2.76820707321167,16,Doddkammanahalli Lake
1.3172998428344727,16,Basapura Lake
0.14161822199821472,4,Nagaraesh Nagenahalli Lake
0.016665320843458176,4,Basavanapura Kere
2.9501352310180664,1,Nallurahalli Lake
0.008335252292454243,8,K100
0.15835349261760712,128,Thubarahalli Lake
0.008332437835633755,1,Kacharakanahalli Lake
0.06666333973407745,4,Palace Grounds Lake
0.02500205487012863,1,Kundalahalli Lake
0.008337244391441345,16,Thippasandra Lake
1.4327305555343628,8,Thirumenahalli Lake
0.11666811257600784,2,Srigandakaval Lake
0.21676619350910187,8,Lingadeeranahalli Lake
0.11666534841060638,2,Garudacharpalya Lake
0.20839974284172058,2,Gowdana Kere
1.0085248947143555,1,Lalbagh Tank
0.7919002771377563,1,Carmelaram Lake
0.016667485237121582,64,Byrasandra Lake
0.7996875643730164,8,Lakshmipura Lake
4.3773980140686035,2,Doddathogur Lake
5.215628147125244,128,Mathikere Lake
0.11670570075511932,128,Kasavanahalli Lake
4.952043056488037,2,Sarakki Kere
0.008337817154824734,128,Gottigere Tank
0.03332831338047981,8,Shivapura Old Lake
0.15840774774551392,1,Akshaynagar Lake
0.016673307865858078,16,Chunchagatta Lake
1.2831885814666748,16,Horamavu Lake
0.7750649452209473,4,Nagarbhavi Lake
0.00833164993673563,64,Dasarahalli Tank
1.1332956552505493,32,Devasandra lake
0.15825672447681427,64,Kattigenahalli Lake
4.124431610107422,64,Horamavu Agara Lake
0.15841002762317657,1,Thalaghattapura Lake
0.00833559688180685,64,Agara Lake
0.00833559688180685,64,Vrishabhavati
0.008335653692483902,4,Gunjuru Palya Lake
1.575626254081726,32,Subramanyapura Lake
0.04168268293142319,2,Konanakunte Lake
0.025006640702486038,64,Halagevader Halli Lake
0.008333126083016396,1,B Narayanapura Lake
0.35848134756088257,8,Doddakalasandra Lake
0.09170273691415787,4,Puttenhalli Lake
0.008336012251675129,16,Mylasandra Tank
0.03334614634513855,16,Konasandra Lake
0.9920964241027832,32,Singasandra Lake
0.041670434176921844,8,Chinnappanahalli Lake
0.02500574290752411,4,Dubasi Palya Kere
2.2581770420074463,16,Andrahalli Lake
0.08335736393928528,1,Ambalipura Lower Lake
0.6084211468696594,4,Deepanjali Nagara Kere
0.01666829362511635,8,Mallathahalli Lake
1.542150616645813,16,Doddakannelli Lake
0.6829474568367004,128,Gantiganahalli Lake
0.700210690498352,16,Bheemanakatte Lake
0.008329258300364017,64,Yelahanka Lake
2.0666308403015137,1,Mahadevapura Lake
0.9670432209968567,64,ISRO Layout Lake
0.008334515616297722,2,Nagarbhavi Thorai
0.008333641104400158,1,Kaggadasapura Lake
16.71013832092285,4,Hosakere
0.008336398750543594,64,Haralur Lake
0.033342938870191574,16,Chikkalasandra lake
0.18342438340187073,2,Subrayana Lake
13.327052116394043,1,Puttenahalli Lake
2.299147367477417,8,Singapura Kere
2.06685733795166,1,Lal Bahadur Shastri Nagar Lake
0.09168790280818939,64,Yediyur Lake
0.008332130499184132,4,Chelekere
5.749464511871338,2,Vengayyana Lake
8.456657409667969,16,Doddabidirakallu Kere
0.024994220584630966,1,Hebbal Lake
1.1915875673294067,128,Vijinapura Lake
1.774384617805481,4,Narsipura Lake
0.008333555422723293,64,Kadiranpalaya Kere
0.041652098298072815,1,Sampigehalli Lake
0.008329343982040882,8,Kogilu Lake
1.4667882919311523,4,Munekolala Lake
0.0166592039167881,128,Veerasagara Lake
0.008335718885064125,128,Gunjuru Lake
5.875323295593262,8,Sheelavathana Kere
0.03332626447081566,128,Nagawara Lake
0.34185633063316345,8,Kuppareddi Kere
0.008336972445249557,64,Parappana Agrahara Lake
0.01666218414902687,64,Bagalagunte Lake
0.28333595395088196,4,Halasuru lake
2.23214054107666,2,Palanahalli Lake
0.05836004763841629,1,Begur Lake
11.737753868103027,1,Chikka Bellanduru Lake
224.14503479003906,2,Ramapura Kere
5.506420135498047,32,Abbigere Lake
2.800201654434204,4,Ullal Lake
10.487353324890137,128,Kaikondrahalli Lake
0.6666132807731628,4,B Channasandra Lake
0.30015093088150024,32,Chandrasekhar Layout Lake
3.21570086479187,1,Amruthalli Lake
3.391390323638916,64,Kowdenahalli Lake
0.016672110185027122,8,Sunkalpalya Lake
0.008329343982040882,4,Attur Lake
0.8250246644020081,8,Pattandur Agrahara Kunte
0.7086127400398254,2,Haraluru Lake
0.18335993587970734,8,Varthur Lake
14.922003746032715,32,Anchepalya Lake
0.5252687335014343,2,Subedharana Lake
0.025001339614391327,4,Pattandur Agrahara Lake
0.008330002427101135,32,Allalasandra Lake
6.936830520629883,4,Chudahalli Lake
0.5168262720108032,1,Ambalipura Upper Lake
0.01666761189699173,4,Doddanekundi Lake
0.04168660566210747,128,Hulimavu Lake
2.458284378051758,16,Herohalli Kere
114.82073211669922,128,Bellandur Lake
0.008335747756063938,64,Kengeri Lake
0.01667216047644615,128,Madiwala Lake
0.024992629885673523,128,Doddabommasandra Kere
3.449035882949829,16,Kammagondanahalli Lake
0.04166722670197487,128,Hoodi Lake
7.544248104095459,32,Dore Kere
1.000026822090149,2,Byrasandra Melina Kere
0.008336012251675129,8,Uttarahalli Lake
0.008335418067872524,32,Hosakerahalli Lake
2.2676568031311035,1,Arekere lake
2.1410727500915527,4,Kalkere Lake
0.03332073241472244,128,Jakkur Lake
0.01666225492954254,8,BEL Lake
0.5835646390914917,32,Vasanthapura Lake
0.04168349876999855,8,Chikka Beguru Lake
267.27490234375,4,Yellamallappa Chetty Lake
12.748985290527344,2,Seegehalli Lake
23.875478744506836,64,Saul Kere
0.008330948650836945,128,Rachenahalli Lake
0.3083465099334717,2,Lotus Pond
0.1500055491924286,64,Seetharampalya Lake
3.8344247341156006,64,Kenchanahalli Lake
0.03332461044192314,128,Mallasandra Lake
0.01666921004652977,16,Kempambudhi Kere
0.024991340935230255,4,Vidyaranyapura Kere
